firstname,lastname,gender,ssn
Vincent,Schwartz,M,888-99-7777
Shirley,Adams,F,111-99-1111
Tasha,Bell,F,444-33-7234
Adam,Turley,M,666-11-6455
Duane,McGee,M,654-77-2222
Marshawn,Jones,M,887-00-5544
Debbie,Miller,F,778-99-3322
Sai,Jajala,M,223-99-5557
Phoong,Ming,F,990-99-4477
Ablert,Matheny,M,545-44-5555
Nicole,Dunn,F,776-33-3377
Jasper,Olmer,M,232-11-7788
Eddie,Sandberg,M,443-11-8877
Sarah,Goldman,F,994-99-4444
Lebron,McMichaels,M,767-66-7777
Amanada,Peart,F,321-21-4321
Mohammed,Wasem,M,575-55-5577
Arif,Hadad,M,456-99-4567
George,Schubert,M,779-99-9777
Chris,Mortensen,M,888-99-8899
Julia,Molina,F,880-01-0008
Fred,Collier,M,809-99-5665
Gail,Dickens,F,498-09-9876
Hillary,Simpson,F,987-98-7987
Andrew,Lee,M,908-43-3434
Naomi,Naser,F,888-55-2211
Ben,Crosby,M,866-65-0909
Reggie,Smith,M,665-45-5454
